id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,keywords,score
41328,MY-0053,closed,Sungai Petani Airport,5.623781,100.541963,90,Kedah,MY-02,2,Sungai Petani,0,,,,"WMBB, WMBB",50
41315,MY-GTK,small_airport,Sungai Tekai Airport,2.64118,102.89297,160,Johor,MY-01,1,Sungai Tekai,0,,,GTK,,50
32434,WBKE,small_airport,Telupid Airport,5.62861,117.125999,343,Sabah,MY-12,12,Telupid,0,WBKE,WBKE,TEL,,50
32667,WMBE,small_airport,Semantan Airport,3.480521,102.377901,100,Pahang,MY-06,6,Temerloh,0,WMBE,,,,50
32668,WMBF,small_airport,Ulu Bernam Airport,3.740934,101.168504,10,Perak,MY-08,8,Ulu Bernam,0,WMBF,,,,50
41358,MY-0027,small_airport,Ulu Tomani Airport,4.696944237,115.8633347,1300,Sabah,MY-12,12,Ulu Tomani,0,,,,,50
41359,MY-0028,small_airport,Wallace Bay Airport,4.244166851,117.6561127,10,Sabah,MY-12,12,Wallace Bay,0,,,,,50
356347,MY-0039,closed,Felda Air Tawar Airport,1.67001,104.02488,,Johor,MY-01,1,Air Tawar,0,,,,,0
356349,MY-0041,closed,Felda Semenchu Airport,1.58898,104.16391,,Johor,MY-01,1,Bandar Penawar,0,,,,,0
356343,MY-0035,heliport,Genting Heliport,3.42491,101.7914,,Pahang,MY-06,6,Genting Highlands,0,,,,,0
354866,MY-0033,heliport,Johor Polo Club Helipad,1.479169,103.78247,,Johor,MY-01,1,Johor Bahru,0,,,,,0
354857,MY-0011,heliport,Istana Negara Helipad,3.161877,101.666788,,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,,,,,0
354858,MY-0012,heliport,Sunway Tower Helipad,3.157058,101.703002,,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,,,,,0
339979,MY-0007,heliport,TLDM Tanjung Gelang Heliport,3.96909,103.43113,,Pahang,MY-06,6,Kuantan,0,,,,,0
340521,MY-0008,heliport,Limbang Heliport,4.758474,115.009884,,Sarawak,MY-13,13,Limbang,0,,,,,0
